Price,Validity,Description,Tags,Circle,Time,Price2,Days2,Tag1,Tag2,clean_price_per_day
Rs. 2997,365 days,"International Roaming : 2 GB Data, 100mins IC+OG (India + Local), 20 SMS (covers-US, Europe, Gulf & -- more - Set1) 1 GB Data, 50mins IC+OG (India + Local), 10 SMS (covers-Africa, Maldives & -- more - Set2) -- More covered countries: visit www.airtel.in/I",Andhra Pradesh Airtel Other,Punjab,2023-Q1,2997.0,365,Andhra,Pradesh Airtel Other,8.210958904
Rs. 296,30 days,"Enjoy unlimited Local, STD & Roaming calls on any network, 25GB Data and 100 SMS/day--Apollo 24--7 Circle:3 Months,at No Cost--Get Rs -- 100 cashback on FASTag--Free Hellotunes--Wynk Music Free",Himachal Pradesh Airtel Local,Punjab,2023-Q1,296.0,30,Himachal,Pradesh Airtel Local,9.866666667
Rs. 5000,N.A.,Talktime: Rs.4237.29,Haryana Airtel Top up,Punjab,2023-Q1,5000.0,N.A.,Haryana,Airtel Top up,
Rs. 1000,N.A.,Talktime: Rs.847.46,Haryana Airtel Top up,Punjab,2023-Q1,1000.0,N.A.,Haryana,Airtel Top up,
Rs. 500,N.A.,Talktime: Rs.423.73,Haryana Airtel Top up,Punjab,2023-Q1,500.0,N.A.,Haryana,Airtel Top up,
Rs. 100,N.A.,Talktime: Rs.81.75,Haryana Airtel Top up,Punjab,2023-Q1,100.0,N.A.,Haryana,Airtel Top up,
Rs. 20,N.A.,Talktime: Rs.14.95,Haryana Airtel Top up,Punjab,2023-Q1,20.0,N.A.,Haryana,Airtel Top up,
Rs. 10,N.A.,Talktime: Rs.7.47,Haryana Airtel Top up,Punjab,2023-Q1,10.0,N.A.,Haryana,Airtel Top up,
Rs. 439,90 days,"Local, STD & Roaming Calls: Unlimited -- SMS: 300 SMS -- (including MTNL network in Mumbai and Delhi)",BSNL STD,Rajasthan,2023-Q1,439.0,90,BSNL,STD,4.877777778
Rs. 1198,365 days,300min any-net voice calls in Home LSA national roaming including MTNL area of Mumbai and Delhi+3GB Data+30SMS) per month for 12 months/365days,BSNL Local,Rajasthan,2023-Q1,1198.0,365,BSNL,Local,3.282191781
Rs. 769,84 days,Unlimited voice calls (Local/STD) any-net in Home LSA and National Roaming (including Mumbai and Delhi) + U/L Data with speed reduced to 40Kbps after 2GB/day + 100 SMS/ day is including MTNL area Mumbai and Delhi + BSNL Tunes + EROS Now Entertainment serv,BSNL Local,Rajasthan,2023-Q1,769.0,84,BSNL,Local,9.154761905
Rs. 269,28 days,Unlimited voice calls (Local/STD) any-net in Home LSA and National Roaming (including Mumbai and Delhi) + U/L Data with speed reduced to 40Kbps after 2GB/day + 100 SMS/ day is including MTNL area Mumbai and Delhi + BSNL Tunes + EROS Now Entertainment serv,BSNL Local,Rajasthan,2023-Q1,269.0,28,BSNL,Local,9.607142857
Rs. 48,30 days,Rs.10 usage value in main account + 20 paisa/min on-net calls Local/STD/National Roaming incl -- MTNL network in Mumbai and Delhi,BSNL Local,Rajasthan,2023-Q1,48.0,30,BSNL,Local,1.6
Rs. 2399,395 days,For Validity Extension / Plan Migration customers only -- Unlimited voice Local/STD calls any net in Home LSA and national roaming incl -- MTNL network in Mumbai and Delhi + Unlimited data (speed reduced to 40 kbps after 2GB/day) + 100 SMS/day including M,BSNL STD,Rajasthan,2023-Q1,2399.0,395,BSNL,STD,6.073417722
Rs. 1999,365 days,For Validity Extension / Plan Migration customers only -- 600GB (regular) Data at high speed (Post which unlimited @ 40 Kbps) + U/L voice + 100SMS/day + Free PRBT with unlimited song change option(30 days) + Lokdhun content (30 days) + EROS NOW Entertainm,BSNL STD,Rajasthan,2023-Q1,1999.0,365,BSNL,STD,5.476712329
Rs. 1499,336 days,Validity Extension -- Unlimited Call to any n/w even in Roaming + 24GB DATA + 100 SMS/Day -- Applicable only for FRC_1499(Bindas_Bol).,BSNL STD,Rajasthan,2023-Q1,1499.0,336,BSNL,STD,4.461309524
Rs. 999,200 days,For Validity Extension / Plan Migration customers only -- Unlimited voice Local/STD calls any net in Home LSA and national roaming including MTNL network in Mumbai and Delhi for 200 days + PRBT for 2 months.Charges after freebies are as follows: Voice cal,BSNL STD,Rajasthan,2023-Q1,999.0,200,BSNL,STD,4.995
Rs. 997,160 days,For Validity Extension / Plan Migration customers only -- Unlimited voice (Local/STD) (on-net/off-net) in Home LSA and national roaming incl -- Mumbai and Delhi + Unlimited Data speed reduced to 40kbps after 2GB/day + 100 SMS/day to Any N/w Including whil,BSNL STD,Rajasthan,2023-Q1,997.0,160,BSNL,STD,6.23125
Rs. 699,130 days,For Validity Extension / Plan Migration customers only -- Unlimited free voice calls in home and national roaming including MTNL network roaming area of Delhi and Mumbai.Unlimited free data with speed reduced to 40 kbps after 0.5GB/day.100 SMS/day is incl,BSNL STD,Rajasthan,2023-Q1,699.0,130,BSNL,STD,5.376923077
Rs. 666,105 days,For Validity Extension / Plan Migration customers only -- Unlimited voice calls + 2 GB data/Day + 100 SMS/day+ PRBT+Zing + Hardy Mobile Games + Astrotell and GameOn services for 105 days -- Base plan as per PV107/Per Min plan -- Applicable only for Plan V,BSNL STD,Rajasthan,2023-Q1,666.0,105,BSNL,STD,6.342857143
Rs. 485,82 days,For Validity Extension / Plan Migration customers only -- Unlimited voice calls/Day any-net (Local/STD) in Home LSA and Roaming including Mumbai and Delhi + Unlimited Data with speed restricted to 40 Kbps after 1.5GB Data/day + 100 SMS/day to Any N/w Incl,BSNL STD,Rajasthan,2023-Q1,485.0,82,BSNL,STD,5.914634146
Rs. 399,70 days,"2G/3G Data: 1 GB / Day -- Unlimited Data Pack -- Post FUP Speed: 40 Kbps -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day -- + Free BSNL tunes + Lokdhun content (including MTNL)",BSNL STD,Rajasthan,2023-Q1,399.0,70,BSNL,STD,5.7
Rs. 397,180 days,For Validity Extension / Plan Migration customers only -- Truly unlimited voice (Local/STD)(on-net/off-net) in Home LSA and national roaming incl -- Mumbai and Delhi + Unlimited Data speed reduced to 40kbps after 2GB/day + 100 SMS/day is including MTNL ar,BSNL STD,Rajasthan,2023-Q1,397.0,180,BSNL,STD,2.205555556
Rs. 197,84 days,For Validity Extension / Plan Migration customers only -- Truly unlimited voice including MTNL roaming area of Delhi and Mumbai + Unlimited Data with speed reduced to 40 Kbps after 2GB/day + 100SMS/day + Zing(18days).All freebies valid for first 18 days o,BSNL STD,Rajasthan,2023-Q1,197.0,84,BSNL,STD,2.345238095
Rs. 153,26 days,For Validity Extension / Plan Migration customers only -- Unlimited voice (Local/STD) any-net in Home LSA and National roaming incl -- MTNL network in Mumbai and Delhi + Unlimited data with speed reduced to 40Kbps after 1GB/day + 100 SMS/day to Any N/w In,BSNL STD,Rajasthan,2023-Q1,153.0,26,BSNL,STD,5.884615385
